degree,gpa,num_certs,num_projects,num_internships,job_role,python,java,javascript,react,sql,aws,docker,machine_learning
B.E,6.16,2,2,3,Data Scientist,0,1,0,0,1,0,0,1
BCA,7.26,2,1,3,ML Engineer,1,1,0,0,1,1,0,0
MCA,9.83,5,7,0,Software Engineer,1,1,0,0,1,0,0,0
B.Sc,7.08,5,8,3,Frontend Developer,0,0,1,1,0,0,0,0
B.Sc,8.09,3,2,0,Cloud Architect,1,0,0,1,0,1,1,0
B.Sc,6.54,0,3,3,Software Engineer,1,1,0,0,1,0,0,0
M.Tech,5.78,0,8,3,Full Stack Developer,1,1,1,1,1,0,1,0
M.Sc,6.38,0,2,1,Frontend Developer,0,0,1,1,0,0,0,1
B.Sc,9.52,3,4,1,Software Engineer,1,1,0,1,1,0,0,0
MCA,7.1,4,5,0,Cloud Architect,1,0,0,0,0,1,1,1
MBA,6.54,1,5,0,Data Scientist,1,0,0,0,1,0,0,0
BCA,7.3,2,4,2,Backend Developer,0,1,1,0,1,0,0,0
B.Sc,6.42,4,1,2,Software Engineer,1,1,0,0,0,0,0,0
B.E,8.19,5,6,3,Data Scientist,1,1,0,0,1,1,1,1
BCA,9.02,5,1,3,Cloud Architect,1,0,0,1,0,1,1,0
B.E,8.95,1,6,3,Software Engineer,1,1,0,1,1,0,0,0
M.Sc,6.54,5,4,0,Software Engineer,1,1,0,0,1,0,0,1
B.Tech,6.07,0,2,0,Data Scientist,1,1,0,0,1,0,0,1
M.Sc,7.73,5,4,2,DevOps Engineer,1,0,0,0,0,1,1,0
M.Tech,5.74,5,4,0,ML Engineer,1,0,0,0,0,0,0,1
B.Sc,5.66,2,2,0,ML Engineer,1,0,0,0,1,1,0,1
B.E,7.73,4,6,0,DevOps Engineer,1,0,1,0,0,1,0,0
BCA,9.15,0,2,3,ML Engineer,1,0,0,0,0,1,0,1
MBA,7.41,2,5,0,DevOps Engineer,1,0,0,0,0,1,1,0
BCA,7.02,4,6,2,Backend Developer,1,1,0,0,1,0,1,1
MBA,7.58,2,6,0,Frontend Developer,0,0,1,1,0,0,1,0
B.Sc,6.66,5,1,1,Cloud Architect,1,0,0,0,0,1,1,0
MCA,5.69,5,1,1,Cloud Architect,1,1,0,0,0,1,1,0
M.Tech,5.85,2,3,0,ML Engineer,1,0,0,0,0,1,0,1
MCA,7.01,4,1,0,ML Engineer,1,0,0,0,0,1,1,1
MCA,7.8,3,2,0,Backend Developer,1,1,0,0,1,0,0,0
B.E,7.93,4,5,1,Backend Developer,0,1,0,0,1,0,1,0
M.Sc,9.1,0,6,0,ML Engineer,1,0,0,0,0,1,0,1
MBA,8.22,4,3,2,ML Engineer,1,0,0,0,1,1,0,1
MCA,6.91,0,3,0,DevOps Engineer,0,0,0,0,0,1,1,0
BCA,8.94,4,7,3,Full Stack Developer,1,0,0,1,1,1,0,1
B.Sc,7.31,0,2,2,ML Engineer,1,0,1,0,0,1,0,1
B.E,8.34,4,2,1,Cloud Architect,1,0,0,0,0,1,1,0
MCA,8.53,0,7,2,Software Engineer,1,1,0,0,1,0,0,0
B.E,6.93,4,6,0,ML Engineer,1,1,0,0,0,1,0,1
BCA,6.25,1,5,1,ML Engineer,1,0,0,0,0,1,0,0
M.Sc,7.98,0,6,1,Data Scientist,1,0,0,1,1,0,0,1
B.E,8.79,2,2,1,DevOps Engineer,1,0,0,1,0,1,1,0
M.Tech,9.86,5,2,2,DevOps Engineer,1,0,0,1,0,1,1,0
B.E,5.95,1,3,3,Software Engineer,1,1,0,0,1,0,0,0
M.Sc,6.69,5,4,0,Backend Developer,1,1,0,0,1,0,1,0
M.Tech,7.71,4,3,2,Full Stack Developer,1,0,0,1,1,0,0,0
BCA,8.51,2,7,3,Backend Developer,1,1,0,0,1,0,1,0
M.Sc,8.48,3,7,1,ML Engineer,0,0,0,1,0,1,0,1
BCA,6.71,3,7,2,Software Engineer,1,1,0,0,1,0,0,0
BCA,7.68,0,6,1,Software Engineer,1,1,1,0,1,0,0,0
B.Tech,9.11,1,3,3,Software Engineer,0,1,0,0,1,0,0,0
BCA,9.11,0,7,3,Backend Developer,1,1,0,0,1,1,0,0
B.Sc,6.77,5,5,0,Software Engineer,0,1,0,1,1,0,0,0
M.Tech,7.77,3,4,2,Data Scientist,1,0,1,0,1,0,1,1
B.E,7.81,3,5,3,ML Engineer,0,0,0,0,0,1,0,0
M.Sc,7.22,1,8,2,DevOps Engineer,1,0,0,0,0,1,1,1
M.Tech,8.39,1,7,3,Cloud Architect,1,0,0,1,0,1,1,0
B.Tech,8.95,5,4,3,Backend Developer,1,1,0,0,1,0,1,1
MCA,9.82,0,7,1,Cloud Architect,1,0,0,0,0,1,1,0
B.Sc,7.84,1,7,3,Software Engineer,0,1,0,1,1,0,0,0
BCA,6.03,2,4,2,Software Engineer,1,1,0,0,1,0,0,0
MBA,7.58,3,3,1,DevOps Engineer,1,0,0,0,1,1,1,1
M.Tech,9.97,0,6,1,Cloud Architect,0,0,0,1,0,0,1,0
B.Tech,9.68,4,4,0,ML Engineer,1,0,0,0,0,1,0,1
M.Tech,8.79,4,5,3,Frontend Developer,0,0,0,1,0,0,0,0
B.Sc,5.51,0,3,3,Backend Developer,1,1,0,0,0,0,0,1
MBA,6.97,4,2,1,Full Stack Developer,1,1,1,1,1,0,0,0
BCA,8.7,0,6,3,Frontend Developer,0,0,1,1,0,0,0,0
B.E,6.46,4,4,0,ML Engineer,1,0,0,0,0,1,1,1
MCA,5.92,5,5,2,DevOps Engineer,1,0,0,0,1,1,1,1
B.Tech,9.38,0,6,0,Software Engineer,1,1,0,0,1,0,0,0
B.Sc,9.42,1,1,2,Frontend Developer,1,0,1,0,0,1,1,0
B.Sc,9.58,4,3,2,ML Engineer,1,0,0,0,0,1,0,0
B.Sc,7.5,2,2,2,Data Scientist,1,0,0,0,1,0,1,1
M.Tech,8.05,0,4,2,Cloud Architect,1,1,1,0,0,1,1,0
M.Tech,9.45,3,5,1,Cloud Architect,1,0,0,0,0,1,1,0
B.Sc,8.04,2,6,2,DevOps Engineer,1,0,0,0,0,1,1,1
B.Sc,5.67,1,6,2,Cloud Architect,1,0,0,0,0,1,1,0
M.Sc,6.66,3,1,2,Data Scientist,1,1,1,0,1,1,0,1
MCA,9.41,1,1,3,Data Scientist,0,0,0,0,0,0,0,1
B.E,8.79,1,2,3,Cloud Architect,1,0,0,0,0,1,0,0
BCA,9.79,4,3,1,Full Stack Developer,1,1,1,1,1,0,0,0
B.Tech,9.87,2,5,0,ML Engineer,1,0,0,0,0,0,1,1
M.Sc,9.36,4,7,1,Frontend Developer,0,0,1,1,0,1,0,1
B.E,9.24,5,7,3,Cloud Architect,1,0,1,1,0,0,1,0
MCA,7.7,4,7,0,Data Scientist,1,0,0,0,1,0,0,1
B.Sc,7.75,3,1,2,Backend Developer,0,1,1,0,1,0,1,0
B.Sc,6.24,0,3,2,Full Stack Developer,1,0,1,0,1,1,0,0
B.E,8.59,3,6,3,Frontend Developer,1,0,1,1,1,0,0,1
MCA,6.0,2,4,3,ML Engineer,1,0,0,0,1,0,0,1
B.Tech,7.59,0,5,1,Full Stack Developer,0,0,1,0,1,0,0,0
MCA,7.38,4,2,1,DevOps Engineer,1,0,1,1,0,1,1,0
MBA,7.44,3,1,0,Frontend Developer,0,0,1,1,0,0,0,0
MCA,5.67,2,7,3,ML Engineer,1,0,0,1,0,1,0,1
B.Sc,9.78,2,4,0,Software Engineer,1,1,0,0,1,1,0,0
MBA,6.47,2,5,0,ML Engineer,1,0,0,0,0,0,0,1
M.Sc,5.58,2,4,0,Full Stack Developer,1,1,1,1,1,0,0,1
MBA,8.15,3,8,1,DevOps Engineer,1,0,0,0,1,1,1,0
B.E,6.65,2,5,2,Frontend Developer,1,0,1,1,0,0,0,0
MBA,8.54,4,8,1,ML Engineer,0,0,0,0,0,1,1,1
B.Sc,7.2,5,7,3,Full Stack Developer,1,1,1,1,0,0,0,0
M.Sc,7.38,4,7,1,ML Engineer,1,0,0,1,0,1,0,1
MBA,8.91,5,3,0,Full Stack Developer,1,0,1,1,1,1,0,0
B.E,9.88,0,6,1,Full Stack Developer,1,0,1,0,1,0,0,0
MBA,8.58,3,6,1,Frontend Developer,0,1,1,1,0,0,0,0
MBA,9.72,1,3,3,Frontend Developer,0,0,1,1,0,0,0,0
MCA,9.42,3,7,0,Data Scientist,1,0,0,1,1,0,0,1
BCA,9.48,3,1,2,Full Stack Developer,1,0,1,1,1,0,0,1
MBA,7.43,2,3,1,Full Stack Developer,0,1,1,1,1,1,0,0
M.Sc,6.69,2,8,2,Cloud Architect,1,0,0,0,0,1,1,0
B.Tech,8.93,5,5,3,DevOps Engineer,0,0,0,0,0,1,1,0
BCA,6.19,1,1,2,Cloud Architect,1,1,0,0,0,1,1,0
B.E,7.65,5,3,3,ML Engineer,1,0,0,0,0,1,0,1
MBA,9.54,5,4,2,Frontend Developer,1,0,1,1,0,0,0,0
MBA,8.06,0,7,0,Cloud Architect,1,1,0,0,0,1,1,0
M.Tech,6.72,5,3,1,ML Engineer,1,0,0,1,0,1,0,1
MBA,6.3,2,1,1,Backend Developer,1,1,0,0,1,0,1,1
M.Sc,8.14,0,8,1,Backend Developer,1,1,0,0,1,0,1,1
M.Sc,8.19,5,8,0,Data Scientist,1,1,0,0,1,0,0,1
B.E,8.21,2,5,3,DevOps Engineer,1,0,0,0,0,1,1,0
B.Sc,7.69,3,6,1,Data Scientist,1,0,0,0,0,0,0,1
M.Tech,8.93,1,6,1,Backend Developer,1,1,0,0,0,0,1,0
B.E,9.04,2,4,2,Backend Developer,1,1,0,0,1,0,1,0
BCA,7.17,3,1,3,Cloud Architect,1,0,0,0,0,1,1,1
B.Sc,9.89,3,6,1,ML Engineer,1,1,0,0,0,1,0,1
MBA,9.35,5,7,3,Backend Developer,0,1,0,0,1,0,1,1
BCA,9.94,5,2,2,Backend Developer,1,0,1,0,1,0,1,0
B.Sc,9.43,2,1,1,Full Stack Developer,1,0,1,1,1,0,0,0
MCA,9.81,5,5,2,Data Scientist,1,0,0,0,1,0,0,1
B.Sc,6.04,3,1,2,Software Engineer,1,1,0,1,1,0,0,1
BCA,8.09,0,8,1,Cloud Architect,1,0,0,0,0,1,1,0
B.E,9.18,5,7,0,Data Scientist,1,0,0,0,1,0,0,1
BCA,5.53,3,4,2,Full Stack Developer,1,1,1,1,1,0,0,0
M.Sc,8.98,2,6,1,Frontend Developer,0,0,0,1,0,0,0,0
M.Sc,6.86,3,1,3,Backend Developer,1,1,0,0,1,1,1,0
B.E,5.72,4,2,1,Backend Developer,1,1,0,0,0,0,1,0
M.Tech,9.73,4,2,3,Backend Developer,1,1,0,0,1,1,1,0
B.Tech,7.21,1,2,3,Software Engineer,1,1,1,0,1,1,0,0
B.Tech,9.78,5,8,0,Cloud Architect,1,0,0,1,0,1,0,0
M.Sc,9.4,5,3,2,Software Engineer,1,1,0,0,1,0,0,0
B.Sc,5.63,3,1,1,Data Scientist,1,0,0,0,1,1,1,0
B.Tech,7.93,3,8,3,Full Stack Developer,1,0,1,0,1,0,0,1
B.Sc,9.36,5,2,3,Cloud Architect,1,1,0,0,0,1,1,0
M.Sc,6.07,1,4,2,Cloud Architect,1,0,1,0,0,1,1,0
BCA,6.98,5,3,0,Frontend Developer,0,0,1,1,0,0,1,0
B.Tech,9.07,2,4,3,Full Stack Developer,1,1,1,1,1,0,1,0
M.Sc,7.54,2,8,3,Cloud Architect,1,0,0,0,0,1,1,0
MCA,8.93,0,5,1,Data Scientist,1,0,0,1,1,1,0,1
BCA,7.54,1,4,0,ML Engineer,1,0,0,0,0,1,0,1
MCA,7.87,1,6,1,Backend Developer,1,1,0,1,1,0,1,0
B.Sc,8.36,0,7,2,Data Scientist,1,0,0,0,1,0,0,1
B.E,9.52,4,2,0,Full Stack Developer,1,1,1,0,1,0,0,0
B.Sc,6.15,1,4,2,Full Stack Developer,1,0,1,1,1,0,0,0
M.Sc,9.84,2,1,0,Data Scientist,1,0,1,0,1,0,0,1
M.Tech,8.97,5,6,2,DevOps Engineer,1,0,0,0,0,1,1,0
B.E,9.27,4,2,0,Software Engineer,1,1,0,0,1,0,0,0
M.Sc,9.41,2,5,2,ML Engineer,1,0,0,0,0,1,0,1
BCA,9.92,5,8,3,Full Stack Developer,0,1,1,1,1,0,0,1
B.Tech,8.21,4,7,3,Full Stack Developer,1,0,1,1,0,0,0,0
MCA,8.41,0,4,1,Software Engineer,1,1,0,1,1,0,0,0
MCA,5.94,1,5,3,Software Engineer,1,1,0,0,1,0,0,0
MCA,7.56,2,3,3,Software Engineer,1,1,0,0,1,0,0,0
MCA,7.08,4,8,1,Data Scientist,1,0,0,0,1,0,1,1
M.Sc,6.69,4,5,2,Full Stack Developer,1,0,1,1,1,0,0,1
B.E,8.28,2,7,1,Frontend Developer,1,1,1,1,0,0,1,0
M.Tech,9.3,1,3,2,Full Stack Developer,1,0,1,1,1,0,0,0
MBA,6.51,4,8,3,Software Engineer,1,1,0,0,1,1,0,0
M.Sc,7.36,2,7,2,Full Stack Developer,1,0,1,1,1,0,0,0
M.Sc,6.94,4,8,2,ML Engineer,1,0,1,0,0,1,0,0
M.Sc,8.74,3,7,0,Data Scientist,1,0,0,0,1,0,1,1
B.Tech,8.02,4,5,0,Frontend Developer,0,1,1,1,1,0,1,0
B.E,8.67,4,7,1,Cloud Architect,1,0,0,0,0,1,1,0
B.Tech,9.87,1,4,1,ML Engineer,0,0,0,0,1,0,0,1
B.Tech,8.42,5,8,1,Frontend Developer,0,1,0,1,0,0,0,0
B.Sc,5.93,5,2,2,ML Engineer,1,0,0,0,0,1,0,1
M.Tech,7.86,0,6,3,Cloud Architect,0,0,0,1,0,1,1,0
B.Tech,9.1,0,3,2,DevOps Engineer,1,0,1,0,0,1,1,0
MBA,8.68,0,5,2,Frontend Developer,0,0,0,1,1,1,0,0
MCA,8.57,5,7,3,Data Scientist,1,0,1,0,1,0,0,1
M.Tech,7.02,5,2,0,Data Scientist,1,0,0,0,1,0,0,1
B.E,8.91,3,1,3,ML Engineer,1,0,1,0,0,1,0,1
MCA,8.03,0,5,1,Data Scientist,1,0,0,0,1,0,0,0
B.Tech,7.9,4,3,2,ML Engineer,0,0,0,0,1,1,0,1
M.Sc,5.94,3,4,0,Software Engineer,1,1,0,1,1,0,0,1
B.Tech,9.57,1,3,1,DevOps Engineer,1,0,0,0,0,1,1,0
B.E,8.56,3,7,2,DevOps Engineer,1,0,0,0,0,1,1,1
MBA,6.64,1,8,0,Backend Developer,0,1,1,0,0,0,0,1
MCA,6.25,0,7,1,Frontend Developer,0,0,1,1,0,0,0,0
MBA,6.4,0,4,3,Data Scientist,1,1,0,1,0,0,1,1
MBA,8.82,0,3,2,ML Engineer,1,0,0,0,0,1,0,0
B.Sc,7.08,5,8,0,DevOps Engineer,1,0,0,0,0,0,1,0
M.Tech,9.3,0,3,2,Cloud Architect,1,0,0,0,0,0,0,0
B.Tech,6.15,5,1,0,ML Engineer,0,0,0,0,0,1,1,1
MBA,9.72,5,8,3,Software Engineer,1,1,0,0,1,0,0,0
MBA,7.91,0,7,2,Frontend Developer,0,1,1,1,0,0,0,0
B.Tech,7.57,3,8,3,Frontend Developer,0,0,1,1,0,0,0,0
B.E,7.59,5,6,3,Cloud Architect,1,0,1,0,0,1,1,0
MCA,8.4,0,4,1,Full Stack Developer,1,1,0,1,1,0,0,0
B.Sc,8.47,5,3,3,ML Engineer,1,0,0,1,0,1,0,1
B.Sc,7.35,0,2,0,Backend Developer,1,1,1,0,1,0,1,0
B.Tech,5.54,0,6,2,Data Scientist,1,1,0,0,1,0,0,1
MBA,7.02,3,3,3,Cloud Architect,1,0,0,0,0,1,0,0
M.Sc,9.89,0,6,3,DevOps Engineer,1,1,0,0,1,1,1,0
MBA,9.52,2,7,1,Frontend Developer,0,0,1,1,0,0,1,1
M.Sc,9.83,3,3,2,Data Scientist,1,0,0,1,1,0,1,1
M.Sc,7.81,3,6,0,DevOps Engineer,1,0,1,0,0,1,1,0
MBA,8.47,3,7,3,DevOps Engineer,1,1,0,0,1,1,1,0
BCA,8.64,4,4,3,Software Engineer,1,1,0,0,1,0,0,0
BCA,5.87,0,4,0,DevOps Engineer,1,0,0,0,0,1,0,1
MCA,5.79,0,3,3,Frontend Developer,0,0,0,0,0,0,0,0
M.Tech,8.26,5,4,1,ML Engineer,0,1,0,0,0,1,1,1
M.Tech,7.24,4,1,3,Software Engineer,1,1,0,0,1,0,0,0
B.Tech,5.86,2,4,1,Frontend Developer,0,0,1,1,0,1,0,0
BCA,8.21,2,5,1,Full Stack Developer,1,0,1,1,1,0,0,0
B.Tech,5.78,5,2,2,Data Scientist,1,0,0,0,0,0,0,0
M.Tech,8.06,5,4,1,ML Engineer,1,0,0,0,0,1,0,1
B.Tech,8.61,1,3,3,Frontend Developer,0,0,1,1,0,0,0,0
B.Tech,9.43,1,3,1,Full Stack Developer,1,0,1,0,1,0,0,0
B.Tech,7.26,3,8,3,Data Scientist,0,0,1,0,1,0,0,1
B.Sc,7.69,3,4,3,Full Stack Developer,1,0,0,1,1,0,1,0
B.Tech,9.81,2,3,2,Cloud Architect,1,0,0,0,0,1,1,0
M.Tech,5.58,3,5,2,Cloud Architect,1,0,0,0,0,1,1,0
M.Sc,9.56,4,8,0,ML Engineer,1,0,0,0,0,1,0,1
M.Tech,7.23,3,4,2,ML Engineer,0,0,0,0,0,1,0,0
MCA,9.31,2,8,2,Frontend Developer,1,0,1,1,0,0,1,0
M.Sc,9.81,3,1,2,Backend Developer,1,0,0,0,1,0,1,0
M.Sc,6.15,4,3,3,DevOps Engineer,0,0,0,1,0,1,0,0
M.Tech,9.72,2,8,2,ML Engineer,1,0,0,0,0,1,1,0
MCA,9.24,2,1,0,Frontend Developer,0,1,1,1,0,0,0,0
MBA,5.79,3,6,0,Frontend Developer,1,0,1,1,0,0,0,0
B.E,7.95,2,4,1,Cloud Architect,1,0,0,0,0,1,1,1
B.Tech,5.74,2,7,3,Software Engineer,1,1,1,0,1,0,0,0
BCA,7.72,5,2,2,Software Engineer,1,1,0,1,1,0,0,1
B.E,6.46,4,5,2,Frontend Developer,0,0,1,1,0,0,0,0
MCA,9.54,0,1,3,Backend Developer,1,1,0,0,1,0,1,0
M.Sc,6.4,5,4,2,Data Scientist,1,0,0,0,1,0,0,0
B.Tech,6.89,1,8,3,Backend Developer,1,1,0,0,1,0,1,0
M.Sc,5.85,5,3,0,DevOps Engineer,0,1,1,1,1,1,0,0
MCA,6.47,2,3,2,Software Engineer,1,1,0,1,1,1,0,0
M.Sc,6.04,3,5,2,Cloud Architect,1,0,0,0,0,1,0,0
MBA,5.78,0,1,0,Software Engineer,1,1,0,0,0,0,0,0
BCA,8.73,0,7,3,DevOps Engineer,1,0,0,0,0,1,1,0
B.Tech,6.79,2,6,3,Backend Developer,0,1,0,0,1,0,1,0
B.E,7.17,0,5,1,Frontend Developer,0,0,0,1,0,0,0,0
MCA,8.4,2,3,1,ML Engineer,1,0,0,0,0,1,0,0
B.E,5.87,1,4,2,Backend Developer,1,0,0,1,0,1,1,0
M.Tech,6.96,0,4,3,Cloud Architect,1,0,0,0,0,1,1,0
M.Sc,8.72,2,4,0,Frontend Developer,0,0,1,1,0,0,0,0
B.Tech,5.57,5,7,0,Backend Developer,1,1,0,0,0,0,0,0
MCA,7.24,2,6,0,DevOps Engineer,1,0,0,0,0,0,1,1
MBA,9.38,0,7,0,DevOps Engineer,1,0,1,0,0,1,1,0
M.Tech,7.64,3,1,2,Cloud Architect,1,1,0,0,0,1,1,0
MBA,6.47,3,5,3,DevOps Engineer,1,1,1,0,0,1,1,0
BCA,8.14,1,2,1,Software Engineer,1,1,0,0,1,0,0,1
MBA,6.62,4,8,1,Cloud Architect,1,0,0,0,0,1,1,0
M.Tech,5.96,4,6,0,Cloud Architect,0,0,0,0,0,1,1,1
MBA,5.65,1,3,0,Full Stack Developer,1,0,0,0,1,0,0,0
B.Sc,5.89,4,7,0,Software Engineer,1,1,0,0,1,0,0,0
M.Sc,6.41,4,1,2,Software Engineer,1,1,0,0,1,1,0,0
MCA,9.64,4,2,1,Frontend Developer,0,0,1,1,0,1,0,0
B.Sc,9.38,1,5,3,Frontend Developer,1,0,1,1,0,0,0,0
B.E,5.69,1,8,3,Software Engineer,1,1,0,0,1,0,0,0
M.Sc,8.2,5,1,2,Frontend Developer,0,0,1,0,1,1,0,1
B.E,6.76,3,7,1,DevOps Engineer,1,0,0,0,0,1,1,0
MCA,5.91,4,4,2,Cloud Architect,1,0,0,0,0,1,1,0
M.Sc,8.05,4,3,2,ML Engineer,1,0,0,0,0,1,0,1
MCA,8.71,4,6,1,Backend Developer,1,1,0,0,0,0,1,0
MCA,6.61,4,7,0,Cloud Architect,1,0,0,0,1,1,1,0
M.Sc,9.15,3,8,0,Data Scientist,1,0,0,0,1,0,0,1
B.E,7.24,2,3,0,Cloud Architect,0,0,0,0,1,1,1,0
M.Sc,5.68,4,5,2,Full Stack Developer,1,1,0,1,1,0,0,0
B.Sc,5.6,4,5,3,Backend Developer,1,1,0,0,1,0,0,0
M.Tech,6.61,3,7,3,Data Scientist,1,0,0,0,1,0,1,1
M.Sc,5.95,2,4,3,Backend Developer,0,1,0,0,1,0,1,0
MCA,6.95,3,3,3,Full Stack Developer,1,0,1,1,1,0,0,0
M.Sc,6.91,1,2,3,Backend Developer,1,1,0,0,1,0,0,0
B.E,8.07,2,8,1,Software Engineer,1,0,0,0,1,0,0,0
M.Sc,9.34,1,2,0,Frontend Developer,0,0,1,1,0,0,0,1
M.Tech,7.86,0,4,0,DevOps Engineer,1,1,1,0,0,1,1,0
B.Sc,6.8,2,3,0,Software Engineer,1,1,0,1,1,0,1,0
MCA,8.75,4,1,3,Cloud Architect,1,0,0,1,0,1,1,1
B.Sc,5.72,0,4,1,Frontend Developer,0,1,1,1,0,0,0,0
M.Tech,9.92,3,6,3,Software Engineer,0,1,0,0,1,0,0,0
B.E,6.25,3,7,2,DevOps Engineer,1,1,1,1,0,1,0,0
B.Tech,6.92,5,5,3,ML Engineer,1,1,0,0,1,1,0,1
B.Sc,5.57,0,4,1,Backend Developer,1,1,0,0,1,0,1,0
BCA,7.18,0,8,0,Data Scientist,1,0,0,0,0,0,0,1
MCA,6.37,4,6,0,ML Engineer,1,0,0,1,0,1,1,1
B.E,7.0,3,1,0,Cloud Architect,1,0,0,0,0,1,1,0
B.E,6.99,1,1,0,Frontend Developer,0,0,1,0,0,0,0,0
B.Tech,9.79,0,2,1,DevOps Engineer,1,0,0,0,0,1,1,0
BCA,8.77,2,6,3,Software Engineer,1,1,0,0,1,1,0,0
MCA,8.34,1,1,3,DevOps Engineer,1,0,0,0,0,1,1,0
BCA,6.98,1,4,1,Cloud Architect,1,0,0,0,0,1,1,1
MBA,9.57,4,8,0,Backend Developer,1,1,0,0,1,0,1,0
B.Tech,7.46,3,7,1,ML Engineer,1,0,0,1,0,0,0,1
B.E,9.32,5,1,1,Full Stack Developer,1,0,1,1,1,0,1,1
MBA,9.53,2,6,0,Full Stack Developer,1,0,1,1,0,0,1,0
B.Sc,9.52,3,8,0,Software Engineer,1,0,0,0,1,0,0,0
BCA,8.27,0,8,1,DevOps Engineer,1,0,0,1,0,1,1,0
B.Tech,7.27,3,4,2,DevOps Engineer,1,0,0,0,0,1,1,0
M.Sc,6.58,0,5,2,ML Engineer,0,0,1,0,1,0,0,0
M.Sc,8.73,3,1,2,ML Engineer,1,1,0,0,0,1,0,1
B.E,6.36,5,6,3,Frontend Developer,1,1,1,1,0,0,0,0
MCA,8.85,2,7,0,Frontend Developer,0,0,1,1,0,0,0,0
MCA,6.17,5,6,2,Cloud Architect,1,0,0,0,0,1,1,0
MCA,5.51,4,7,1,ML Engineer,1,0,0,0,0,1,0,1
B.Tech,7.55,0,8,3,Full Stack Developer,1,0,1,1,0,0,0,0
M.Sc,9.65,3,5,0,Cloud Architect,1,0,0,0,0,1,1,0
B.Tech,6.5,3,1,2,Backend Developer,1,1,1,1,0,0,1,0
MBA,9.95,4,4,0,Software Engineer,1,1,0,1,1,0,0,0
M.Tech,6.98,1,7,1,Full Stack Developer,1,0,0,1,1,0,0,0
MCA,5.94,0,4,0,Frontend Developer,0,0,1,1,1,0,0,0
B.Sc,6.01,0,6,0,DevOps Engineer,1,1,0,0,0,0,1,0
B.Sc,7.25,1,3,2,ML Engineer,1,0,0,0,0,1,0,1
M.Sc,7.65,3,4,1,Frontend Developer,0,0,0,1,0,0,0,0
MBA,8.98,3,6,2,Backend Developer,1,0,0,0,1,0,1,0
B.Tech,5.66,2,8,0,Backend Developer,1,1,1,0,1,0,1,1
M.Tech,8.18,0,6,1,Frontend Developer,0,1,0,1,0,0,0,0
B.E,6.82,2,7,0,DevOps Engineer,1,1,0,0,1,1,1,0
M.Tech,7.74,4,2,2,ML Engineer,1,0,1,0,0,0,1,1
M.Tech,9.89,4,2,2,Data Scientist,1,0,1,0,1,1,1,1
M.Tech,9.53,4,1,0,DevOps Engineer,1,1,0,0,0,1,0,1
B.Tech,7.61,5,2,0,Cloud Architect,1,0,0,0,0,1,0,0
M.Sc,8.78,4,4,3,Cloud Architect,0,0,0,0,0,1,1,0
B.Tech,7.43,2,4,0,Backend Developer,1,1,0,0,0,0,1,0
BCA,8.42,0,4,1,Full Stack Developer,1,0,1,1,1,1,0,0
M.Sc,9.99,5,2,0,Software Engineer,1,1,0,1,1,0,0,0
M.Tech,7.04,2,8,1,Full Stack Developer,1,1,1,0,1,0,0,0
M.Sc,7.25,3,3,0,Frontend Developer,0,0,1,1,0,0,1,1
MBA,7.86,0,8,2,Software Engineer,1,0,0,0,1,0,0,0
M.Sc,7.52,1,8,3,DevOps Engineer,1,0,0,0,0,1,1,1
B.Sc,5.99,4,2,1,Backend Developer,1,1,0,0,1,0,1,1
BCA,9.14,4,1,1,DevOps Engineer,1,0,0,0,0,1,1,0
MCA,8.96,5,5,1,Software Engineer,1,1,0,0,1,0,0,0
MCA,5.93,1,7,0,Full Stack Developer,1,0,1,0,1,0,0,0
M.Tech,8.04,4,8,1,Data Scientist,0,0,1,0,1,0,1,1
M.Sc,6.48,0,6,1,Backend Developer,0,1,0,0,1,0,1,0
M.Tech,9.12,5,1,3,Data Scientist,1,0,0,0,0,0,0,1
B.E,9.49,4,3,0,Backend Developer,0,1,0,0,0,0,1,0
B.Tech,8.5,0,8,1,Data Scientist,1,0,0,1,1,0,0,1
B.Tech,6.03,1,8,3,Frontend Developer,0,0,1,1,0,0,0,1
B.Sc,7.19,1,3,2,Software Engineer,1,1,0,1,1,0,0,1
MBA,6.21,2,4,0,ML Engineer,1,0,0,0,0,1,0,1
B.E,6.83,4,2,3,Backend Developer,1,1,1,0,1,1,0,0
B.Sc,5.74,4,2,2,Full Stack Developer,1,0,1,1,0,0,0,1
BCA,6.68,0,3,3,Data Scientist,1,0,1,0,1,1,0,1
B.E,8.74,0,1,0,Data Scientist,1,0,0,0,1,0,1,1
MCA,6.24,5,6,0,Data Scientist,1,0,1,0,1,0,0,1
B.Sc,9.95,1,8,2,Software Engineer,1,1,0,0,1,0,0,0
M.Tech,6.18,4,1,0,Cloud Architect,1,0,0,1,0,0,1,1
M.Sc,7.2,2,4,2,DevOps Engineer,1,1,0,0,1,1,0,0
B.Tech,7.15,3,8,2,ML Engineer,1,0,0,1,0,1,1,1
B.Sc,6.07,5,1,2,Software Engineer,0,1,0,0,1,0,0,0
B.Sc,7.96,1,3,0,DevOps Engineer,1,0,0,0,0,1,1,0
B.E,8.29,3,3,2,Frontend Developer,0,0,1,1,0,0,0,0
M.Sc,5.97,2,5,0,Full Stack Developer,1,0,1,0,1,0,0,0
B.E,9.05,3,7,2,Frontend Developer,0,0,1,1,0,0,0,0
